Airline,Flight #,Origin,ETA,Gate #,Status,AirlineCode,AirportCode,ScheduledDate,ScheduledTime,EstimatedDate,OriginDestAirport,BoardingGate,EstimatedTime,Remarks,FlightNumber
https://www.ind.com/assets/images/airlines/aa.png,AA 4585,Boston,12:10 am,RMTE,Arrived,AA,IND,20250415,0010,20250415,Boston,RMTE,0010,Arr,4585
https://www.ind.com/assets/images/airlines/aa.png,AA 1033,Charlotte,2:23 am,B9,Arrived,AA,IND,20250415,0223,20250415,Charlotte,B9,0223,Arr,1033
https://www.ind.com/assets/images/airlines/aa.png,AA 2919,Chicago/O'Hare,12:41 am,B7,Arrived,AA,IND,20250415,0041,20250415,Chicago/O'Hare,B7,0041,Arr,2919
https://www.ind.com/assets/images/airlines/wn.png,WN 3226,San Diego,12:11 am,B23,Arrived,WN,IND,20250415,0011,20250415,San Diego,B23,0011,Arr,3226
https://www.ind.com/assets/images/airlines/wn.png,WN 4050,Las Vegas,12:26 am,B21,Arrived,WN,IND,20250415,0026,20250415,Las Vegas,B21,0026,Arr,4050
https://www.ind.com/assets/images/airlines/sy.png,SY 8690,Long Beach,1:30 am,A22,Arrived,SY,IND,20250415,0130,20250415,Long Beach,A22,0130,Arr,8690
https://www.ind.com/assets/images/airlines/sy.png,SY 8688,Long Beach,2:25 am,A22,Arrived,SY,IND,20250415,0225,20250415,Long Beach,A22,0225,Arr,8688
https://www.ind.com/assets/images/airlines/nk.png,NK 426,Las Vegas,3:55 am,A20,Arrived,NK,IND,20250415,0355,20250415,Las Vegas,A20,0355,Arr,426
https://www.ind.com/assets/images/airlines/ua.png,UA 1603,San Francisco,5:52 am,A25,Arrived,UA,IND,20250415,0552,20250415,San Francisco,A25,0552,Arr,1603
https://www.ind.com/assets/images/airlines/dl.png,DL 909,Los Angeles,5:49 am,A5,Arrived,DL,IND,20250415,0549,20250415,Los Angeles,A5,0549,Arr,909
https://www.ind.com/assets/images/airlines/wn.png,WN 743,Tampa,8:06 am,B22,Arrived,WN,IND,20250415,0806,20250415,Tampa,B22,0806,Arr,743
